DataFile,method,metric,acceleration
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,CPU,pearson,0.201803324
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,CPU,pearson,23.25861268
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,CPU,pearson,0.201803324
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,CPU,pearson,23.25861268
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,GPU,pearson,0.111736929
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,GPU,pearson,1
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,GPU,pearson,59.15553636
../../DistanceBenchmarking/Real/HSC/matrix.mtx,amap,euclidean,0.001583176
../../DistanceBenchmarking/Real/HSC/matrix.mtx,amap,euclidean,0.059793187
../../DistanceBenchmarking/Real/HSC/matrix.mtx,amap,euclidean,11.03615761
../../DistanceBenchmarking/Real/HSC/matrix.mtx,factoextra,euclidean,0.060807812
../../DistanceBenchmarking/Real/HSC/matrix.mtx,factoextra,euclidean,0.576815126
../../DistanceBenchmarking/Real/HSC/matrix.mtx,factoextra,euclidean,8.136995711
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,euclidean,0.001008915
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,euclidean,0.08651525
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,euclidean,14.34775473
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,euclidean,0.001008915
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,euclidean,0.08651525
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,euclidean,14.34775473
../../DistanceBenchmarking/Real/HSC/matrix.mtx,GPU,euclidean,0.015363816
../../DistanceBenchmarking/Real/HSC/matrix.mtx,GPU,euclidean,0.024072927
../../DistanceBenchmarking/Real/HSC/matrix.mtx,GPU,euclidean,1
../../DistanceBenchmarking/Real/HSC/matrix.mtx,amap,pearson,0.000944958
../../DistanceBenchmarking/Real/HSC/matrix.mtx,amap,pearson,0.038891222
../../DistanceBenchmarking/Real/HSC/matrix.mtx,amap,pearson,4.505165968
../../DistanceBenchmarking/Real/HSC/matrix.mtx,factoextra,pearson,0.007784638
../../DistanceBenchmarking/Real/HSC/matrix.mtx,factoextra,pearson,0.061819762
../../DistanceBenchmarking/Real/HSC/matrix.mtx,factoextra,pearson,0.620130286
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,pearson,0.000935884
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,pearson,0.104236945
